Civilite,Nom,Prenom,Mandat,Circonscription,Departement,Candidat,Date_de_publication,,,,,,,,
Mme,GIPSON,Séverine,Députée,1ère circonscription,Eure,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,LECORNU,Sébastien,Conseiller départemental,,Eure,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,OBADIA,Philippe,Maire,Les Barils,Eure,MACRON Emmanuel,01/02/2022,,,,,,,,
Mme,O'PETIT,Claire,Députée,5ème circonscription,Eure,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,RIVEMALE,Yves Marie,Maire,Verneuil d'Avre et d'Iton,Eure,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,BERTA,Philippe,Député,6ème circonscription,Gard,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,LE BOHEC,Gaël,Député,4ème circonscription,Ille-et-Vilaine,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,CHALUMEAU,Philippe,Député,1ère circonscription,Indre-et-Loire,MACRON Emmanuel,01/02/2022,,,,,,,,
Mme,DATTEE,Catherine,Maire,Saunay,Indre-et-Loire,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,ESNAULT,Alain,Maire,Sorigny,Indre-et-Loire,MACRON Emmanuel,01/02/2022,,,,,,,,
Mme,CASCARINO,Sophie,Conseillère régionale,Pays De La Loire,Loire-Atlantique,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,COUDRIAU,Bernard,Maire,Saint-Lumine-de-Coutais,Loire-Atlantique,MACRON Emmanuel,01/02/2022,,,,,,,,
Mme,ERRANTE,Sophie,Députée,10ème circonscription,Loire-Atlantique,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,GARRABOS,Jean-François,Maire,Feugarolles,Lot-et-Garonne,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,BECHU,Christophe,Maire,Angers,Maine-et-Loire,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,MAUTRAIT,René,Maire,Le Meix-Tiercelin,Marne,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,TEMPLIER,Sylvain,Député,1ère circonscription,Haute-Marne,MACRON Emmanuel,01/02/2022,,,,,,,,
Mme,TRELAT-VALLON,Françoise,Maire,Chaumont-la-Ville,Haute-Marne,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,BORDELET,Frédéric,Maire,Moulay,Mayenne,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,COUËFFÉ,Dominique,Maire,Cosmes,Mayenne,MACRON Emmanuel,01/02/2022,,,,,,,,
Mme,DUCHEMIN,Françoise,Conseillère départementale,,Mayenne,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,LANGOUET,Christophe,Conseiller départemental,,Mayenne,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,DEMANGE,Jean-Luc,Maire,Merviller,Meurthe-et-Moselle,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,VAUTRIN,Jean-Philippe,Conseiller départemental,,Meuse,MACRON Emmanuel,01/02/2022,,,,,,,,
Mme,LE PEIH,Nicole,Députée,3ème circonscription,Morbihan,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,MARY,Jean-François,Maire,Allaire,Morbihan,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,PELLOIS,Hervé,Député,1ère circonscription,Morbihan,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,AREND,Christophe,Député,6ème circonscription,Moselle,MACRON Emmanuel,01/02/2022,,,,,,,,
Mme,GRIES-TRISSE,Nicole,Députée,5ème circonscription,Moselle,MACRON Emmanuel,01/02/2022,,,,,,,,
Mme,RAUCH,Isabelle,Députée,9ème circonscription,Moselle,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,DEGALLAIX,Laurent,Maire,Valenciennes,Nord,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,DI POMPEO,Christophe,Député,3ème circonscription,Nord,MACRON Emmanuel,01/02/2022,,,,,,,,
Mme,LISO,Brigitte,Députée,4ème circonscription,Nord,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,BARTHELEMY,Stanislas,Maire,Longueil-Sainte-Marie,Oise,MACRON Emmanuel,01/02/2022,,,,,,,,
Mme,BUREAU-BONNARD,Carole,Députée,6ème circonscription,Oise,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,CAGNARD,Marc,Maire,Croissy-sur-Celle,Oise,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,DECOSTER,François,Maire,Saint-Omer,Pas-de-Calais,MACRON Emmanuel,01/02/2022,,,,,,,,
Mme,DEPREZ-AUDEBERT,Marguerite,Députée,9ème circonscription,Pas-de-Calais,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,DESFACHELLE,Nicolas,Maire,Saint-Laurent-Blangy,Pas-de-Calais,MACRON Emmanuel,01/02/2022,,,,,,,,
Mme,MAQUET,Jacqueline,Députée,2ème circonscription,Pas-de-Calais,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,PONT,Jean-Pierre,Député,5ème circonscription,Pas-de-Calais,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,ESCALÉ,Francis,Maire,Baudreix,Pyrénées-Atlantiques,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,LEBLANC,Jean-Simon,Maire,Labastide-Monréjeau,Pyrénées-Atlantiques,MACRON Emmanuel,01/02/2022,,,,,,,,
Mme,POUEYTO,Josy,Députée,1ère circonscription,Pyrénées-Atlantiques,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,LAVAL,Frédéric,Conseiller départemental,,Hautes-Pyrénées,MACRON Emmanuel,01/02/2022,,,,,,,,
Mme,SIANI WEMBOU,Virginie,Conseillère départementale,,Hautes-Pyrénées,MACRON Emmanuel,01/02/2022,,,,,,,,
Mme,CORDELETTE,Joëlle,Maire,Mont-Louis,Pyrénées-Orientales,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,MICHELS,Thierry,Député,1ère circonscription,Bas-Rhin,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,RINIE,Jean-Luc,Maire,Rosteig,Bas-Rhin,MACRON Emmanuel,01/02/2022,,,,,,,,
Mme,KLINKERT,Brigitte,Conseillère départementale,,Haut-Rhin,MACRON Emmanuel,01/02/2022,,,,,,,,
Mme,WEIDER-NIGLIS,Séverine,Conseillère régionale,Grand Est,Haut-Rhin,MACRON Emmanuel,01/02/2022,,,,,,,,
Mme,BRUGNERA,Anne,Députée,4ème circonscription,Rhône,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,SOTTON,Martin,Maire,Thizy-les-Bourgs,Rhône,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,GREMILLON,Alain,Maire,Lombron,Sarthe,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,PICHEREAU,Damien,Député,1ère circonscription,Sarthe,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,CROZE,Jean-Claude,Maire,Brison-Saint-Innocent,Savoie,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,VAUDEY,Joël,Maire,Verchaix,Haute-Savoie,MACRON Emmanuel,01/02/2022,,,,,,,,
Mme,IBLED,Catherine,Conseillère de Paris,,Paris,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,MAILLARD,Sylvain,Député,1ère circonscription,Paris,MACRON Emmanuel,01/02/2022,,,,,,,,
Mme,SILIN,Marie,Députée,12ème circonscription,Paris,MACRON Emmanuel,01/02/2022,,,,,,,,
Mme,DO,Stéphanie,Députée,10ème circonscription,Seine-et-Marne,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,FORTIN,Philippe,Maire,Longueville,Seine-et-Marne,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,HOURDÉ,Achille,Maire,Jaignes,Seine-et-Marne,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,DELEPIERRE,Richard,Maire,Le Chesnay-Rocquencourt,Yvelines,MACRON Emmanuel,01/02/2022,,,,,,,,
Mme,DELPIROU,Cécile,Députée,2ème circonscription,Somme,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,LEULIER,Jean-Paul,Maire délégué d'une commune associée ou d'une commune déléguée,Crouy-Saint-Pierre,Somme,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,MACHAT,Jean-Marie,Maire,Estrébœuf,Somme,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,MARIAGE,Bruno,Maire,Warlus,Somme,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,FALCO,Hubert,Maire,Toulon,Var,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,LONGOUR,Jean-Luc,Maire,Le Cannet-des-Maures,Var,MACRON Emmanuel,01/02/2022,,,,,,,,
Mme,BALLET-BLU,Françoise,Députée,1ère circonscription,Vienne,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,HOULIÉ,Sacha,Député,2ème circonscription,Vienne,MACRON Emmanuel,01/02/2022,,,,,,,,
Mme,BEAUDOUIN-HUBIERE,Sophie,Députée,1ère circonscription,Haute-Vienne,MACRON Emmanuel,01/02/2022,,,,,,,,
Mme,CROUZET,Michèle,Députée,3ème circonscription,Yonne,MACRON Emmanuel,01/02/2022,,,,,,,,
